distance,total_duration_min,avg_speed_kmph,num_classes_offered,num_halts,halts_per_100km,departure_hour,is_night_departure,zone_clean,has_return_train,first_ac,second_ac,third_ac,sleeper,chair_car,first_class,type_clean,name,number
53.0,95.0,33.473684210526315,0,6,11.320754716981131,10,0,NR,1,0,0,0,0,0,0,Passenger,Jammu Tawi Udhampur Special,04601
53.0,110.0,28.90909090909091,0,6,11.320754716981131,6,0,NR,1,0,0,0,0,0,0,Passenger,UDHAMPUR JAMMUTAWI DMU,04602
53.0,95.0,33.473684210526315,0,6,11.320754716981131,16,0,NR,1,0,0,0,0,0,0,Passenger,JAT UDAHMPUR DMU,04603
53.0,90.0,35.333333333333336,0,6,11.320754716981131,18,0,NR,1,0,0,0,0,0,0,Passenger,UDHAMPUR JAMMUTAWI DMU,04604
1212.0,1315.0,55.30038022813688,3,185,15.264026402640265,14,0,NWR,1,0,1,1,1,0,0,Superfast,Mumbai BandraT-Bikaner SF Special,04728
82.0,95.0,51.78947368421053,0,8,9.75609756097561,22,1,Unknown,1,0,0,0,0,0,0,Passenger,Sirsa - Hisar Passenger Special,04741
82.0,110.0,44.72727272727273,0,7,8.536585365853659,4,1,Unknown,1,0,0,0,0,0,0,Passenger,Hisar - Sirsa Passenger Special,04742
44.0,75.0,35.2,0,12,27.272727272727273,22,1,NWR,1,0,0,0,0,0,0,Passenger,Rewari Degana Merta Special,04853
44.0,60.0,44.0,0,12,27.272727272727273,3,1,NWR,1,0,0,0,0,0,0,Passenger,Degana Merta Special,04854
1957.0,1940.0,60.52577319587628,4,317,16.198262646908532,9,0,WR,1,1,1,1,1,0,0,Superfast,JAMMU TAWI - BANDRA TERMINUS AC Suvidha Special (Starts 5 April),09022
1205.0,1465.0,49.35153583617747,3,175,14.522821576763485,21,0,CR,1,0,1,1,1,0,0,Express,Chalukya Express,11017
1932.0,2235.0,51.86577181208054,3,300,15.527950310559007,15,0,CR,1,0,1,1,1,0,0,Express,Konark Express,11019
1932.0,2195.0,52.81093394077448,3,300,15.527950310559007,15,0,CR,1,0,1,1,1,0,0,Express,Konark Express,11020
518.0,735.0,42.285714285714285,3,95,18.33976833976834,17,0,CR,1,0,1,1,1,0,0,Express,Sahyadri Express,11023
518.0,785.0,39.59235668789809,3,95,18.33976833976834,22,1,CR,1,0,1,1,1,0,0,Express,Sahyadri Express,11024
364.0,455.0,48.0,1,54,14.835164835164834,4,1,CR,1,0,0,0,0,1,0,Express,Manmad Pune Express(Via Nasik),11025
364.0,520.0,42.0,1,54,14.835164835164834,12,0,CR,1,0,0,0,0,1,0,Express,Pune Manmad Express,11026
1283.0,1750.0,43.988571428571426,3,204,15.900233826968044,23,1,CR,1,0,1,1,1,0,0,Express,Mumbai CST-Chennai Mail,11027
518.0,705.0,44.08510638297872,1,95,18.33976833976834,8,0,CR,1,0,0,0,0,1,0,Express,Koyna Express,11029
518.0,747.0,41.60642570281125,1,95,18.33976833976834,7,0,CR,1,0,0,0,0,1,0,Express,Koyna Express,11030
1948.0,2310.0,50.5974025974026,3,274,14.06570841889117,16,0,CR,1,0,1,1,1,0,0,Express,PUNE - DARBHANGA Gyan Ganga Exp,11033
1212.0,1455.0,49.97938144329897,3,157,12.953795379537954,21,0,CR,1,0,1,1,1,0,0,Express,Dadar-Mysore Sharavati Express,11035
1212.0,1415.0,51.3922261484099,3,157,12.953795379537954,6,0,CR,1,0,1,1,1,0,0,Express,Mysore-Dadar Sharavati Express,11036
1771.0,1980.0,53.666666666666664,3,236,13.325804630152456,16,0,CR,1,0,1,1,1,0,0,Express,PUNE - GORAKHPUR Exp,11037
1771.0,2195.0,48.410022779043274,3,236,13.325804630152456,15,0,CR,1,0,1,1,1,0,0,Express,GORAKHPUR - PUNE Exp,11038
1346.0,1725.0,46.81739130434783,3,158,11.738484398216938,15,0,CR,1,0,1,1,1,0,0,Express,Maharashtra Express,11039
2107.0,3100.0,40.78064516129032,1,247,11.72282866635026,15,0,CR,0,0,0,0,1,0,0,Express,Kolhapur-Gorakhpur Express Slip,11039-Slip
1346.0,1705.0,47.36656891495601,3,158,11.738484398216938,8,0,CR,1,0,1,1,1,0,0,Express,Maharashtra Express,11040
1132.0,1470.0,46.204081632653065,1,129,11.395759717314487,8,0,CR,0,0,0,0,1,0,0,Express,Gondia-Solapur Maharashtra Express Slip,11040-Slip
1283.0,1605.0,47.96261682242991,3,203,15.822291504286827,14,0,CR,1,0,1,1,1,0,0,Express,Mumbai - Chennai Express,11041
1702.0,2175.0,46.95172413793104,3,263,15.452408930669801,0,1,CR,1,0,1,1,1,0,0,Express,MUMBAI LTT - MADURAI Exp,11043
1702.0,2145.0,47.60839160839161,3,263,15.452408930669801,18,0,CR,1,0,1,1,1,0,0,Express,MADURAI - MUMBAI LTT Exp,11044
2968.0,3615.0,49.261410788381745,2,380,12.80323450134771,23,1,CR,1,0,0,1,1,0,0,Express,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,11045
279.0,375.0,44.64,1,34,12.186379928315413,0,1,CR,1,0,0,0,1,0,0,Express,Hubli Express,11047
279.0,375.0,44.64,1,34,12.186379928315413,23,1,CR,1,0,0,0,1,0,0,Express,Hubli Miraj Express,11048
961.0,1195.0,48.2510460251046,3,153,15.920915712799168,19,0,CR,1,0,1,1,1,0,0,Express,Ahmedabad-Kolhapur Express,11049
961.0,1135.0,50.80176211453744,3,153,15.920915712799168,12,0,CR,1,0,1,1,1,0,0,Express,Kolhapur-Ahmedabad Express,11050
315.0,365.0,51.78082191780822,2,37,11.746031746031747,8,0,CR,1,0,0,1,1,0,0,Express,Solapur-Kolhapur Express,11051
315.0,375.0,50.4,2,37,11.746031746031747,8,0,CR,1,0,0,1,1,0,0,Express,Kolhapur Solapur Express,11052
1733.0,2020.0,51.475247524752476,3,236,13.618003462204271,6,0,CR,1,0,1,1,1,0,0,Express,GORAKHPUR - MUMBAI LTT Exp,11056
2037.0,2445.0,49.987730061349694,3,271,13.30387825233186,23,1,CR,1,0,1,1,1,0,0,Express,Dadar Amritsar Express,11057
375.0,460.0,48.91304347826087,3,60,16.0,23,1,CR,0,0,1,1,1,0,0,Express,Dadar Amritsar Express Slip,11057-Slip
2037.0,2610.0,46.827586206896555,3,271,13.30387825233186,8,0,CR,1,0,1,1,1,0,0,Express,Amritsar Dadar Express,11058
1772.0,2040.0,52.11764705882353,3,248,13.995485327313771,10,0,CR,1,0,1,1,1,0,0,Express,MUMBAI LTT - CHHAPRA Godan Exp,11059
1772.0,2075.0,51.23855421686746,3,248,13.995485327313771,5,0,CR,1,0,1,1,1,0,0,Express,CHHAPRA - MUMBAI LTT Godan Exp,11060
1791.0,2155.0,49.86542923433875,3,278,15.522054718034617,15,0,CR,1,0,1,1,1,0,0,Express,DARBHANGA - MUMBAI LTT Pawan Exp,11062
96.0,150.0,38.4,0,14,14.583333333333334,5,0,SR,0,0,0,0,0,0,0,Passenger,Kottayam Kollam Passenger,56305
67.0,90.0,44.666666666666664,0,10,14.925373134328357,5,0,SER,1,0,0,0,0,0,0,Passenger,Ranchi Lohardaga Passenger,58651
46.0,58.0,47.58620689655172,0,14,30.434782608695652,18,0,NWR,1,0,0,0,0,0,0,Passenger,Jodhpur Pipar Road Passenger Special,04858
138.0,205.0,40.390243902439025,0,24,17.39130434782609,11,0,NER,1,0,0,0,0,0,0,Passenger,Farrukhabad-KanpurAnwarganj Passenger,05305
138.0,205.0,40.390243902439025,0,24,17.39130434782609,14,0,NER,1,0,0,0,0,0,0,Express,KanpurAnwarganj-Farrukhabad Special,05306
2613.0,3295.0,47.58118361153263,2,334,12.782242632988902,15,0,NFR,1,0,0,1,1,0,0,Express,Kamakhya - Mumbai LTT (Weekly) Special,05650
104.0,225.0,27.733333333333334,1,12,11.538461538461538,9,0,NFR,1,0,0,0,0,1,0,Premium,Hill Queen Express,05697
104.0,225.0,27.733333333333334,1,12,11.538461538461538,13,0,NFR,1,0,0,0,0,1,0,Premium,Hill Queen Express,05698
858.0,970.0,53.072164948453604,3,149,17.365967365967364,11,0,SR,1,0,1,1,1,0,0,Superfast,Kollam-Chennai Central SF Special,06002
857.0,885.0,58.101694915254235,3,149,17.386231038506416,20,0,SR,1,0,1,1,1,0,0,Express,Chennai Central-Kollam Special,06003
857.0,1015.0,50.66009852216749,3,149,17.386231038506416,17,0,SR,1,0,1,1,1,0,0,Express,Kollam-Chennai Central Special,06004
857.0,885.0,58.101694915254235,3,149,17.386231038506416,20,0,SR,1,0,1,1,1,0,0,Superfast,Chennai Central-Kollam SF Special,06005
857.0,1015.0,50.66009852216749,3,149,17.386231038506416,17,0,SR,1,0,1,1,1,0,0,Superfast,Kollam-Chennai Central SF Special,06006
858.0,930.0,55.354838709677416,3,149,17.365967365967364,15,0,SR,1,0,1,1,1,0,0,Superfast,Chennai Central-Kollam SF Special,06007
858.0,970.0,53.072164948453604,3,149,17.365967365967364,11,0,SR,1,0,1,1,1,0,0,Superfast,KollamChennai Central SF Special,06008
858.0,960.0,53.625,3,149,17.365967365967364,23,1,SR,1,0,1,1,1,0,0,Superfast,Chennai CentralKollam SF Special,06009
858.0,870.0,59.172413793103445,3,149,17.365967365967364,15,0,SR,1,0,1,1,1,0,0,Superfast,Chennai Central Kollam (Weekly) SF Special,06011
1304.0,1800.0,43.46666666666667,3,158,12.116564417177916,5,0,SWR,1,0,1,1,1,0,0,Express,Mysore-Sainagar Shirdi Special,06201
1304.0,1875.0,41.728,3,158,12.116564417177916,23,1,SWR,1,0,1,1,1,0,0,Express,Sainagar Shirdi - Mysore Special,06202
25.0,55.0,27.272727272727273,0,7,28.0,16,0,SWR,1,0,0,0,0,0,0,Passenger,Mysore Nanjangud Town passenger,06215
25.0,50.0,30.0,0,7,28.0,17,0,SWR,1,0,0,0,0,0,0,Passenger,Nanjangud Town Mysore Passenger,06216
276.0,530.0,31.245283018867923,1,21,7.608695652173914,22,1,SWR,0,0,0,0,1,0,0,Express,Shimoga Mysore Express,06228
711.0,1060.0,40.24528301886792,3,133,18.706047819971868,16,0,SR,1,0,1,1,1,0,0,Express,Nagercoil-Mangalore Special,06301
711.0,935.0,45.62566844919786,3,133,18.706047819971868,16,0,SR,1,0,1,1,1,0,0,Express,Mangalore-Nagercoil Special,06302
1719.0,2090.0,49.34928229665071,1,252,14.659685863874344,5,0,SWR,1,0,0,1,0,0,0,Express,Yesvantpur - Ahmedabad Garib Rath Special,06501
1719.0,2350.0,43.889361702127665,1,252,14.659685863874344,20,0,SWR,1,0,0,1,0,0,0,Express,Ahmedabad -Yesvantpur Garib Rath Special,06502
